Dimensão;Critério;Item;Resposta avaliação;Links
Informações Prioritárias;1.1 Possui sítio oficial próprio na internet?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/
Informações Prioritárias;1.2 Possui portal da transparência próprio ou compartilhado na internet?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/transparencia
Informações Prioritárias;1.3 O acesso ao portal transparência está visível na capa do site?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/
Informações Prioritárias;1.4 O site e o portal de transparência contêm ferramenta de pesquisa de conteúdo que permita o acesso à informação?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/
Informações Institucionais;2.1 Divulga a sua estrutura organizacional e a norma que a institui/altera?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/institucional/sobre
Informações Institucionais;2.2 Divulga competências e/ou atribuições?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/institucional/sobre
Informações Institucionais;2.3 Identifica o nome dos atuais responsáveis pela gestão do Poder/Órgão?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/institucional/sobre
Informações Institucionais;2.4 Divulga os endereços e telefones atuais do Poder ou órgão e e-mails institucionais?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/institucional/sobre
Informações Institucionais;2.5 Divulga o horário de atendimento?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/institucional/sobre
Informações Institucionais;2.6 Divulga os atos normativos próprios?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/transparencia/atos
Informações Institucionais;2.6 Divulga os atos normativos próprios?;Atualidade;Atende;
Informações Institucionais;2.6 Divulga os atos normativos próprios?;Série Histórica;Atende;
Informações Institucionais;2.6 Divulga os atos normativos próprios?;Filtros de Pesquisa;Atende;
Informações Institucionais;2.7 Divulga as perguntas e respostas mais frequentes relacionadas às atividades desenvolvidas pelo Poder/Órgão?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/participacao#sugestoes
Informações Institucionais;2.8 Participa em redes sociais e apresenta, no seu sítio institucional, link de acesso ao seu perfil?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/
Informações Institucionais;2.9 Inclui botão do Radar da Transparência Pública no site institucional ou portal transparência?;Disponibilidade;Atende;https://cmchaves.pa.gov.br/transparencia
